partition,group,predictor,statistic,estimate
holdout,teb,ordinary_plus_m_pf,auprc,0.6481218057305014
holdout,dwa,e_v,auroc,0.4027777777777778
holdout,dwa,e_v,auprc,0.5479327775767404
holdout,dwa,e_x,auroc,0.2638888888888889
holdout,dwa,e_x,auprc,0.5118152680652681
holdout,dwa,c_min,auroc,0.6111111111111112
holdout,dwa,c_min,auprc,0.6080577918813213
holdout,dwa,u_magnitude,auroc,0.2361111111111111
holdout,dwa,u_magnitude,auprc,0.39592373206503645
holdout,dwa,delta_u_magnitude,auroc,0.18055555555555555
holdout,dwa,delta_u_magnitude,auprc,0.37872189944558365
holdout,dwa,m_p,auroc,0.6388888888888888
holdout,dwa,m_p,auprc,0.6452241715399611
holdout,dwa,theta_magnitude,auroc,0.5763888888888888
holdout,dwa,theta_magnitude,auprc,0.6657407407407407
holdout,dwa,m_pf,auroc,0.19444444444444445
holdout,dwa,m_pf,auprc,0.3939935064935065
holdout,dwa,ordinary_combined,auroc,0.7361111111111112
holdout,dwa,ordinary_combined,auprc,0.6644436853995677
holdout,dwa,ordinary_plus_m_pf,auroc,0.8333333333333334
holdout,dwa,ordinary_plus_m_pf,auprc,0.7589629790287683
holdout,pooled,e_v,auroc,0.49074074074074076
holdout,pooled,e_v,auprc,0.5716808924915395
holdout,pooled,e_x,auroc,0.48842592592592593
holdout,pooled,e_x,auprc,0.5875912148313487
holdout,pooled,c_min,auroc,0.7260802469135802
holdout,pooled,c_min,auprc,0.7641629580237841
holdout,pooled,u_magnitude,auroc,0.49074074074074076
holdout,pooled,u_magnitude,auprc,0.5608866130473186
holdout,pooled,delta_u_magnitude,auroc,0.4637345679012346
holdout,pooled,delta_u_magnitude,auprc,0.5258292297728535
holdout,pooled,m_p,auroc,0.4664351851851852
holdout,pooled,m_p,auprc,0.48370546724073227
holdout,pooled,theta_magnitude,auroc,0.4992283950617284
holdout,pooled,theta_magnitude,auprc,0.5161258012820513
holdout,pooled,m_pf,auroc,0.4020061728395062
holdout,pooled,m_pf,auprc,0.46917204258378575
holdout,pooled,ordinary_combined,auroc,0.5493827160493827
holdout,pooled,ordinary_combined,auprc,0.5749640994374523
holdout,pooled,ordinary_plus_m_pf,auroc,0.5995370370370371
holdout,pooled,ordinary_plus_m_pf,auprc,0.6279402616543905
