snapshot_id,source,partition,planner,layout_id,layout_cluster,episode_id,profile_id,call_index,snapshot_time,normalized_path_progress,y_bad,mechanisms,label_collision,label_planner_failure,label_command_collapse,label_progress_stall,label_oscillatory_reversal_vy,label_oscillatory_reversal_wz,delay,delay_normalized,tau_x,tau_x_normalized,tau_y,tau_y_normalized,tau_w,tau_w_normalized,theta_magnitude,e_v,e_x,c_min,u_magnitude,delta_u_magnitude,m_p,m_pf,m_p_censored,m_pf_censored,baseline_query_mismatch,nominal_rollout_failure,m_p_queries,m_pf_queries,recorded_command,baseline_query_command
eipt_068,rq1,discovery,tr,discovery_13,rq1:discovery_13,discovery__discovery_13__tr__delay_050,delay_050,35,1.7500000000000013,0.07245867915996375,0,,0,0,0,0,0,0,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11370648637838889,0.24103247117129414,0.49040161914864444,1.1691448432638605,0.2789704099257323,0.34375,0.015625,0,0,0,0,67,31,"{""vx"":0.44999998807907104,""vy"":-0.08286712318658829,""wz"":-0.4460262954235077}","{""vx"":0.44999998807907104,""vy"":-0.08286712318658829,""wz"":-0.4460262954235077}"
eipt_069,rq1,discovery,tr,discovery_15,rq1:discovery_15,discovery__discovery_15__tr__delay_200,delay_200,55,2.7499999999999853,0.1184574744722622,0,,0,0,0,0,0,0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16020453330474377,0.1919628437013501,0.2612867149878715,1.0321032329882225,0.23684669907718728,0.3125,0.984375,0,0,0,0,69,38,"{""vx"":0.44999998807907104,""vy"":0.03947369009256363,""wz"":-0.18333333730697632}","{""vx"":0.44999998807907104,""vy"":0.03947369009256363,""wz"":-0.18333333730697632}"
eipt_070,rq1,discovery,tr,discovery_16,rq1:discovery_16,discovery__discovery_16__tr__e0,e0,155,7.749999999999879,0.5709032418744164,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048051551361078,6.040266291023252e-14,0.4275368765337431,1.0013840573715624,0.12048051551361078,0.375,2.0,0,1,0,0,73,24,"{""vx"":0.44999998807907104,""vy"":0.0,""wz"":0.04210526496171952}","{""vx"":0.44999998807907104,""vy"":0.0,""wz"":0.04210526496171952}"
eipt_071,rq1,discovery,tr,discovery_18,rq1:discovery_18,discovery__discovery_18__tr__delay_200,delay_200,55,2.7499999999999853,0.12100721218616804,0,,0,0,0,0,0,0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11895608094500194,0.15801145993004198,0.34581788755119147,0.9816834172354182,0.11565989577066263,0.34375,0.515625,0,0,0,0,68,34,"{""vx"":0.43696606159210205,""vy"":-0.0033437819220125675,""wz"":0.11510202288627623}","{""vx"":0.43696606159210205,""vy"":-0.0033437819220125675,""wz"":0.11510202288627623}"
eipt_072,rq1,discovery,tr,discovery_19,rq1:discovery_19,discovery__discovery_19__tr__tau_y_300,tau_y_300,155,7.749999999999879,0.6255449235824067,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.6,0.15559834146977689,0.07756559600408663,0.06940750550935025,1.1388460940837584,0.11229296089551397,0.20412414523193323,0.25,0,0,0,0,68,30,"{""vx"":0.44999998807907104,""vy"":-0.002055612625554204,""wz"":-0.43593466281890864}","{""vx"":0.44999998807907104,""vy"":-0.002055612625554204,""wz"":-0.43593466281890864}"
eipt_073,phase2,holdout,dwa,holdout_01,phase2:holdout_01,holdout__holdout_01__dwa__delay_100,delay_100,5,0.25000000000000006,0.0,1,progress_stall,0,0,0,1,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16087737665255933,1.831047262860179e-14,0.6008125138613094,0.20328331405777889,0.0,0.0625,0.59375,0,0,0,0,63,30,"{""vx"":0.011428573168814182,""vy"":-0.05714285746216774,""wz"":-0.09473684430122375}","{""vx"":0.011428573168814182,""vy"":-0.05714285746216774,""wz"":-0.09473684430122375}"
eipt_074,phase2,holdout,dwa,holdout_02,phase2:holdout_02,holdout__holdout_02__dwa__tau_y_300,tau_y_300,5,0.25000000000000006,0.0005271904893612302,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.6,0.12326611008756645,0.07368853539986898,1.4051116500286722,0.29092583004946304,0.049407854659543365,0.15625,0.5,0,0,0,0,64,31,"{""vx"":0.011428574100136757,""vy"":-0.06719466298818588,""wz"":-0.17368420958518982}","{""vx"":0.011428574100136757,""vy"":-0.06719466298818588,""wz"":-0.17368420958518982}"
eipt_075,phase2,holdout,dwa,holdout_03,phase2:holdout_03,holdout__holdout_03__dwa__delay_100,delay_100,5,0.25000000000000006,0.0,1,command_collapse;progress_stall,0,0,1,1,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16087737665255933,1.831047262860179e-14,0.44816067815178373,0.20328331405777889,0.0,0.0625,2.0,0,1,0,0,61,28,"{""vx"":0.011428573168814182,""vy"":-0.05714285746216774,""wz"":-0.09473684430122375}","{""vx"":0.011428573168814182,""vy"":-0.05714285746216774,""wz"":-0.09473684430122375}"
eipt_076,phase2,holdout,dwa,holdout_04,phase2:holdout_04,holdout__holdout_04__dwa__e0,e0,5,0.25000000000000006,0.0015338029511721728,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219419374281255,1.25619374978378e-14,0.5728431372770968,0.19903856002209255,0.03219419374281255,0.125,2.0,0,1,0,0,64,24,"{""vx"":0.011428574100136757,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}","{""vx"":0.011428574100136757,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}"
eipt_077,phase2,holdout,dwa,holdout_06,phase2:holdout_06,holdout__holdout_06__dwa__tau_x_300,tau_x_300,5,0.25000000000000006,0.001352535326444407,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.03219419441667081,0.010526953383256408,0.7543034043625402,0.19795431019958942,0.029648216582559707,0.09375,2.0,0,1,0,0,64,32,"{""vx"":0.006591533776372671,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}","{""vx"":0.006591533776372671,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}"
