pair_id,planner,bad_snapshot_id,nominal_snapshot_id,bad_mechanisms,bad_e_v,nominal_e_v,bad_m_p,nominal_m_p,bad_m_pf,nominal_m_pf,selection_score
pair_01,dwa,eipt_074,eipt_088,progress_stall,0.12326611008756645,0.13958579147747316,0.15625,0.15309310892395098,0.5,2.0,1.4805234275340442
pair_02,teb,eipt_101,eipt_114,progress_stall,0.07671889858669312,0.10186703607024866,0.25,0.25,0.046875,0.671875,0.5998518625164444
pair_03,tr,eipt_124,eipt_136,progress_stall,0.11556059083876202,0.1045371438301937,0.21874999999999997,0.21875000000000003,0.1875,0.765625,0.5671015529914316
