partition,planner,profile_id,metric,n,mean,sd,median,min,max
discovery,dwa,delay_050,success,20,0.05,0.22360679774997896,0.0,0.0,1.0
discovery,dwa,delay_050,collision,20,0.05,0.22360679774997888,0.0,0.0,1.0
discovery,dwa,delay_050,timeout,20,0.45,0.5104177855340405,0.0,0.0,1.0
discovery,dwa,delay_050,planner_failure,20,0.45,0.5104177855340405,0.0,0.0,1.0
discovery,dwa,delay_050,capped_time_to_termination,20,18.178500000000955,13.183343268566807,25.090000000001123,0.8500000000000005,30.00000000000189
discovery,dwa,delay_050,path_length,20,0.8123812128957708,1.4983725698095682,0.10330025774373841,0.060793762754946544,6.027594410152955
discovery,dwa,delay_050,min_clearance,20,0.5598057595265995,0.33221149740068084,0.5605660548902883,0.0,1.4716828856569322
discovery,dwa,delay_050,final_xy_error,20,4.319965250683486,1.1230606804877388,4.789388221964771,0.07507363390849384,4.803673914255166
discovery,dwa,delay_100,success,20,0.05,0.22360679774997885,0.0,0.0,1.0
discovery,dwa,delay_100,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,delay_100,timeout,20,0.45,0.5104177855340405,0.0,0.0,1.0
discovery,dwa,delay_100,planner_failure,20,0.5,0.512989176042577,0.5,0.0,1.0
discovery,dwa,delay_100,capped_time_to_termination,20,19.5750000000009,11.79563367031332,20.700000000000436,0.9000000000000006,30.00000000000189
discovery,dwa,delay_100,path_length,20,0.9420217938995672,1.6642886890383846,0.10753009517542378,0.022803454559040807,6.674118409145739
discovery,dwa,delay_100,min_clearance,20,0.5565609760708418,0.3380121705773501,0.5976041659140718,0.04493864866880428,1.4706897545274167
discovery,dwa,delay_100,final_xy_error,20,4.077585339202695,1.3227144294318658,4.799886964378005,0.07765866760972055,4.80218548367512
discovery,dwa,delay_200,success,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,delay_200,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,delay_200,timeout,20,0.55,0.5104177855340405,1.0,0.0,1.0
discovery,dwa,delay_200,planner_failure,20,0.45,0.5104177855340406,0.0,0.0,1.0
discovery,dwa,delay_200,capped_time_to_termination,20,21.532500000001143,11.404457519575805,30.00000000000189,1.6000000000000012,30.00000000000189
discovery,dwa,delay_200,path_length,20,1.2980613950497428,1.7340000214837723,0.13957934413755035,0.06160157427554287,5.272097263440414
discovery,dwa,delay_200,min_clearance,20,0.4959934778932212,0.3477083081207617,0.5605660548902883,0.02002941865349565,1.4686857704011862
discovery,dwa,delay_200,final_xy_error,20,3.8355361709687985,1.5160084546717727,4.778649659420657,0.12410114877262231,4.804322281281297
discovery,dwa,e0,success,20,0.05,0.22360679774997888,0.0,0.0,1.0
discovery,dwa,e0,collision,20,0.05,0.22360679774997888,0.0,0.0,1.0
discovery,dwa,e0,timeout,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,dwa,e0,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,e0,capped_time_to_termination,20,28.954500000001723,3.319025657597862,30.00000000000189,17.039999999999864,30.00000000000189
discovery,dwa,e0,path_length,20,0.8324115342215771,1.4505607379160934,0.29686420154556653,0.08043681154258775,5.983349324180807
discovery,dwa,e0,min_clearance,20,0.566627787956016,0.33170337818787093,0.5649602451117411,0.0,1.47510436969883
discovery,dwa,e0,final_xy_error,20,4.400313100772109,1.082080193224495,4.750728787406146,0.07720861542721656,4.802087381230043
discovery,dwa,tau_w_100,success,20,0.05,0.22360679774997894,0.0,0.0,1.0
discovery,dwa,tau_w_100,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_w_100,timeout,20,0.95,0.22360679774997902,1.0,0.0,1.0
discovery,dwa,tau_w_100,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_w_100,capped_time_to_termination,20,29.404000000001794,2.6653930291801666,30.00000000000189,18.080000000000027,30.00000000000189
discovery,dwa,tau_w_100,path_length,20,0.8675971424357962,1.4858289418645412,0.37930497239196737,0.10350131892526561,5.972733098627373
discovery,dwa,tau_w_100,min_clearance,20,0.5798301599863365,0.3090340375899287,0.5676682503431505,0.03625250429512472,1.4773985424777225
discovery,dwa,tau_w_100,final_xy_error,20,4.376043318265161,1.1192270651569098,4.79937960160367,0.07737176182514689,4.846350580980265
discovery,dwa,tau_w_300,success,20,0.15,0.36634754853252316,0.0,0.0,1.0
discovery,dwa,tau_w_300,collision,20,0.05,0.2236067977499789,0.0,0.0,1.0
discovery,dwa,tau_w_300,timeout,20,0.8,0.41039134083406165,1.0,0.0,1.0
discovery,dwa,tau_w_300,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_w_300,capped_time_to_termination,20,28.072000000001673,5.674855527955226,30.00000000000189,6.229999999999912,30.00000000000189
discovery,dwa,tau_w_300,path_length,20,2.957286015854069,1.8182363687578071,2.883943008800377,0.36990387999414165,6.751955661632554
discovery,dwa,tau_w_300,min_clearance,20,0.2678296619370857,0.25475560376600226,0.1732854829603359,0.0,0.9406879862382822
discovery,dwa,tau_w_300,final_xy_error,20,2.7019167975870664,1.541432646728219,3.198257044102851,0.07821751782041561,4.788035235269964
discovery,dwa,tau_x_100,success,20,0.1,0.30779350562554625,0.0,0.0,1.0
discovery,dwa,tau_x_100,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_x_100,timeout,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,dwa,tau_x_100,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_x_100,capped_time_to_termination,20,29.30550000000178,2.9054204786738493,30.00000000000189,16.989999999999856,30.00000000000189
discovery,dwa,tau_x_100,path_length,20,0.9726198451736732,1.9106264130358337,0.12779152653451933,0.08024138001756845,6.02625175772185
discovery,dwa,tau_x_100,min_clearance,20,0.5805895726280565,0.30712877070422184,0.5752592414230258,0.09830488733253633,1.4699377881288886
discovery,dwa,tau_x_100,final_xy_error,20,4.225632012396795,1.4536403305286147,4.792724738907394,0.07269676873468393,4.83973905106104
discovery,dwa,tau_x_300,success,20,0.1,0.30779350562554625,0.0,0.0,1.0
discovery,dwa,tau_x_300,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_x_300,timeout,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,dwa,tau_x_300,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_x_300,capped_time_to_termination,20,29.4645000000018,1.6730573180481776,30.00000000000189,23.760000000000915,30.00000000000189
discovery,dwa,tau_x_300,path_length,20,1.2432848842163395,2.4843298059776946,0.08880162185125437,0.05226722964506285,7.506710065391809
discovery,dwa,tau_x_300,min_clearance,20,0.5945997562015128,0.3022643061409003,0.5792561307795085,0.1340459422518406,1.4744131678580215
discovery,dwa,tau_x_300,final_xy_error,20,4.074820728262091,1.7150060560391505,4.798783632366292,0.027099572318038917,4.847191900628959
discovery,dwa,tau_y_150,success,20,0.3,0.47016234598162715,0.0,0.0,1.0
discovery,dwa,tau_y_150,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_y_150,timeout,20,0.7,0.47016234598162715,1.0,0.0,1.0
discovery,dwa,tau_y_150,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_y_150,capped_time_to_termination,20,26.160000000001297,6.085037732877062,30.00000000000189,14.72999999999973,30.00000000000189
discovery,dwa,tau_y_150,path_length,20,3.154928411143139,1.9507217422195562,2.923447323165543,0.4114496888617774,6.562281431756557
discovery,dwa,tau_y_150,min_clearance,20,0.2544546129058386,0.22565201229126086,0.17143865678280903,0.014712357048907474,0.7947405481796124
discovery,dwa,tau_y_150,final_xy_error,20,2.4046152271742605,1.7527573986346145,2.8874941495478152,0.07418101876541468,4.80090004381641
discovery,dwa,tau_y_300,success,20,0.15,0.36634754853252316,0.0,0.0,1.0
discovery,dwa,tau_y_300,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_y_300,timeout,20,0.85,0.36634754853252316,1.0,0.0,1.0
discovery,dwa,tau_y_300,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_y_300,capped_time_to_termination,20,28.67250000000168,3.548682298070019,30.00000000000189,17.77999999999998,30.00000000000189
discovery,dwa,tau_y_300,path_length,20,1.758213323167492,2.245436713684381,0.48866273119617454,0.1320295164372248,6.626835351854701
discovery,dwa,tau_y_300,min_clearance,20,0.4978320263085447,0.33571440099659994,0.533571385962196,0.05731942077847475,1.465431445143472
discovery,dwa,tau_y_300,final_xy_error,20,3.5957069782145608,1.7544007221697993,4.764664524076741,0.07416992468281554,4.799915338987383
discovery,dwa,tau_y_500,success,20,0.1,0.30779350562554625,0.0,0.0,1.0
discovery,dwa,tau_y_500,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_y_500,timeout,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,dwa,tau_y_500,planner_failure,20,0.0,0.0,0.0,0.0,0.0
discovery,dwa,tau_y_500,capped_time_to_termination,20,29.485500000001803,1.5868919473714542,30.00000000000189,24.540000000001037,30.00000000000189
discovery,dwa,tau_y_500,path_length,20,1.5306569561895447,2.0757631180873086,0.39181516405931216,0.14694983650681062,6.983645801317894
discovery,dwa,tau_y_500,min_clearance,20,0.5222932644727974,0.3341570201017071,0.5518463353807999,0.09782677377661889,1.460993943270171
discovery,dwa,tau_y_500,final_xy_error,20,3.7795154280151984,1.564930024557372,4.786073864726401,0.06550853032409754,4.80096935748661
discovery,teb,delay_050,success,20,0.95,0.22360679774997907,1.0,0.0,1.0
discovery,teb,delay_050,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,delay_050,timeout,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,delay_050,planner_failure,20,0.05,0.22360679774997888,0.0,0.0,1.0
discovery,teb,delay_050,capped_time_to_termination,20,13.753499999999757,2.39306294592468,14.574999999999733,5.34999999999993,16.809999999999828
discovery,teb,delay_050,path_length,20,5.682279429386659,0.9353590915552011,5.9035441627906895,2.2138342248562353,6.646587988525394
discovery,teb,delay_050,min_clearance,20,0.13759421785408726,0.049105645717313906,0.1406741365655591,0.04915422913449677,0.21137131706117984
discovery,teb,delay_050,final_xy_error,20,0.19468081924802197,0.6802156937543646,0.04108291117056388,0.003866762466368159,3.0819638529804214
discovery,teb,delay_100,success,20,0.95,0.22360679774997905,1.0,0.0,1.0
discovery,teb,delay_100,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,delay_100,timeout,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,delay_100,planner_failure,20,0.05,0.22360679774997888,0.0,0.0,1.0
discovery,teb,delay_100,capped_time_to_termination,20,15.374999999999824,2.86151505693275,16.159999999999727,5.799999999999921,18.88000000000015
discovery,teb,delay_100,path_length,20,5.731775360728878,0.9473273523938842,5.956723367931701,2.2271297368836884,6.734304921513844
discovery,teb,delay_100,min_clearance,20,0.12674251665057817,0.058766453379179566,0.1375669253219969,0.014278036118498556,0.2033100427655972
discovery,teb,delay_100,final_xy_error,20,0.1969739714796939,0.6764009913299271,0.04999064514661242,0.0011319618201111156,3.0682435294758688
discovery,teb,delay_200,success,20,0.8,0.4103913408340617,1.0,0.0,1.0
discovery,teb,delay_200,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,delay_200,timeout,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,delay_200,planner_failure,20,0.2,0.4103913408340617,0.0,0.0,1.0
discovery,teb,delay_200,capped_time_to_termination,20,18.01800000000025,5.157080569469808,18.675000000000118,7.099999999999893,24.89000000000109
discovery,teb,delay_200,path_length,20,5.393987158496946,1.468150168674834,5.816179403347968,1.938009474601547,6.881723405033753
discovery,teb,delay_200,min_clearance,20,0.09507693738446775,0.05905914352930515,0.09079954177431464,0.002440124802262926,0.203389763055099
discovery,teb,delay_200,final_xy_error,20,0.5867163383619858,1.116399707089246,0.07910139062358346,0.01433789773874557,3.3635054713877817
discovery,teb,e0,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,teb,e0,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,e0,timeout,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,e0,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
discovery,teb,e0,capped_time_to_termination,20,12.341999999999782,2.5992541440311046,13.38499999999976,5.099999999999936,15.309999999999718
discovery,teb,e0,path_length,20,5.46766062369936,1.1234818277325507,5.801654811584282,2.20443048428666,6.613477279267236
discovery,teb,e0,min_clearance,20,0.14149742685304595,0.055150432690538674,0.14929748722753716,0.045336762252608076,0.24205502402866938
discovery,teb,e0,final_xy_error,20,0.3328961146022275,0.8830839044202246,0.059846509194161096,0.013155129464635085,3.092774529204049
discovery,teb,tau_w_100,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,teb,tau_w_100,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,tau_w_100,timeout,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,tau_w_100,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
discovery,teb,tau_w_100,capped_time_to_termination,20,13.629499999999771,3.060730004083083,14.23499999999974,5.599999999999925,16.95999999999985
discovery,teb,tau_w_100,path_length,20,5.451757921912422,1.117285510146006,5.806062440058064,2.2233173285209458,6.575791072716527
discovery,teb,tau_w_100,min_clearance,20,0.1441054627792365,0.0476890739567188,0.1555074768538452,0.06292132639306144,0.2431185379329696
discovery,teb,tau_w_100,final_xy_error,20,0.3318821605756686,0.883828518327394,0.05289945705517066,0.016275046765051843,3.0801108227348215
discovery,teb,tau_w_300,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
discovery,teb,tau_w_300,collision,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,tau_w_300,timeout,20,0.0,0.0,0.0,0.0,0.0
discovery,teb,tau_w_300,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
discovery,teb,tau_w_300,capped_time_to_termination,20,18.951500000000355,5.51303839714784,19.160000000000196,6.549999999999905,27.460000000001493
