episode_id,partition,layout_id,planner,profile_id,success,reason,collision,planner_failures,final_time,path_length,min_clearance,final_xy_error
holdout__holdout_14__teb__tau_w_100,holdout,holdout_14,teb,tau_w_100,true,external_tolerance,false,0,15.879999999999706,6.403305094963268,0.10552015210896513,0.023917005545343435
discovery__discovery_04__dwa__tau_w_300,discovery,discovery_04,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,2.1732053866945877,0.17266876848602752,3.3678881252618917
discovery__discovery_06__teb__delay_050,discovery,discovery_06,teb,delay_050,true,external_tolerance,false,0,16.809999999999828,6.646587988525394,0.17672264163249796,0.013022647344652435
discovery__discovery_09__dwa__delay_100,discovery,discovery_09,dwa,delay_100,false,logical_timeout,false,0,30.00000000000189,0.10753009517542378,0.4560162580484062,4.799886964378005
discovery__discovery_05__dwa__delay_200,discovery,discovery_05,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,0.11073616392538553,0.7047859640601312,4.798693959698342
discovery__discovery_19__teb__tau_w_100,discovery,discovery_19,teb,tau_w_100,true,external_tolerance,false,0,16.089999999999716,6.575791072716527,0.16133894073468263,0.07596458485255292
discovery__discovery_18__dwa__tau_y_150,discovery,discovery_18,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,3.0827681975289045,0.014712357048907474,2.8276130490507088
holdout__holdout_11__teb__tau_w_100,holdout,holdout_11,teb,tau_w_100,true,external_tolerance,false,0,13.139999999999764,5.245418962040849,0.17686338792004747,0.04236043930268357
discovery__discovery_14__teb__tau_y_500,discovery,discovery_14,teb,tau_y_500,true,external_tolerance,false,0,18.260000000000055,5.439904718681308,0.05630061670515729,0.07838224610831604
discovery__discovery_08__teb__delay_200,discovery,discovery_08,teb,delay_200,true,external_tolerance,false,0,17.45999999999993,5.609666700229048,0.203389763055099,0.07848052402268704
discovery__discovery_18__dwa__e0,discovery,discovery_18,dwa,e0,false,footprint_collision,true,0,22.050000000000647,1.8526063752188577,0.0,3.924499772276902
holdout__holdout_03__teb__tau_y_500,holdout,holdout_03,teb,tau_y_500,true,external_tolerance,false,0,15.25999999999972,5.340287715718238,0.1540346776447852,0.07883097326543292
discovery__discovery_03__dwa__tau_y_150,discovery,discovery_03,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,3.1672523011632983,0.20403098848437998,2.053432669421392
holdout__holdout_11__dwa__tau_w_300,holdout,holdout_11,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,3.0642435619382096,0.09911608144308635,2.3648047088194666
discovery__discovery_07__teb__tau_w_100,discovery,discovery_07,teb,tau_w_100,true,external_tolerance,false,0,13.889999999999748,5.814949323964029,0.17894857921527144,0.020872527248650696
discovery__discovery_16__teb__delay_100,discovery,discovery_16,teb,delay_100,true,external_tolerance,false,0,16.68999999999981,6.093375403681471,0.09446092518458069,0.05454428266068326
discovery__discovery_20__dwa__tau_y_300,discovery,discovery_20,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,1.6687616646177432,0.6305277032999757,3.905857239263553
discovery__discovery_11__teb__tau_x_100,discovery,discovery_11,teb,tau_x_100,true,external_tolerance,false,0,14.159999999999743,5.98050189311891,0.0671208848996626,0.05399165407139126
holdout__holdout_17__teb__tau_x_300,holdout,holdout_17,teb,tau_x_300,false,plugin returned no valid velocity command,false,1,4.599999999999946,1.5220837249032935,0.1059126258167806,3.3965821335049404
holdout__holdout_20__teb__tau_y_500,holdout,holdout_20,teb,tau_y_500,true,external_tolerance,false,0,15.509999999999714,5.488286355735784,0.10340553837170842,0.07985756351048699
holdout__holdout_14__teb__delay_100,holdout,holdout_14,teb,delay_100,true,external_tolerance,false,0,17.38999999999992,6.5501640798483916,0.09146964155923154,0.02253140381359363
discovery__discovery_15__dwa__tau_y_300,discovery,discovery_15,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,1.4422623884777928,0.5229383814125255,4.290023482143806
discovery__discovery_02__dwa__tau_w_300,discovery,discovery_02,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,1.6260421068833646,0.4227986964683418,3.349602688662264
discovery__discovery_20__teb__tau_w_300,discovery,discovery_20,teb,tau_w_300,false,plugin returned no valid velocity command,false,1,8.299999999999867,2.206598571637553,0.10712181086603945,3.0819842470828083
holdout__holdout_01__teb__tau_y_500,holdout,holdout_01,teb,tau_y_500,false,plugin returned no valid velocity command,false,1,9.849999999999834,3.0105932692046258,0.014943163351453403,2.3737746518400935
discovery__discovery_20__teb__tau_x_300,discovery,discovery_20,teb,tau_x_300,false,plugin returned no valid velocity command,false,1,5.9999999999999165,2.150794147343978,0.15322799582510083,3.1259332499763057
holdout__holdout_07__teb__delay_100,holdout,holdout_07,teb,delay_100,false,plugin returned no valid velocity command,false,1,6.099999999999914,2.4653936640239817,0.1170558467647318,2.809206012800841
holdout__holdout_08__teb__delay_100,holdout,holdout_08,teb,delay_100,true,external_tolerance,false,0,14.78999999999973,5.9569719970784885,0.1312285523092687,0.07751996277195691
discovery__discovery_06__dwa__delay_200,discovery,discovery_06,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,0.11073616392538553,0.6694408612036901,4.798693959698342
discovery__discovery_09__dwa__e0,discovery,discovery_09,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.4777349416811121,4.800342967782957
holdout__holdout_19__dwa__e0,holdout,holdout_19,dwa,e0,false,logical_timeout,false,0,30.00000000000189,1.0640103891719273,0.39991802599475534,4.459308348430912
discovery__discovery_19__teb__delay_200,discovery,discovery_19,teb,delay_200,true,external_tolerance,false,0,23.200000000000827,6.804388515532295,0.06247506619323639,0.0775108173630502
discovery__discovery_15__dwa__tau_y_150,discovery,discovery_15,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,1.1805475536606191,0.5281486368120529,4.3413672328913835
discovery__discovery_05__dwa__tau_x_300,discovery,discovery_05,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.08880162185125437,0.720552607547274,4.7987983755832255
discovery__discovery_11__dwa__delay_200,discovery,discovery_11,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,0.16842252434971516,0.6185,4.800337210610185
discovery__discovery_19__teb__tau_x_100,discovery,discovery_19,teb,tau_x_100,true,external_tolerance,false,0,15.349999999999717,6.586505992188788,0.13868250374323118,0.07619009645994095
holdout__holdout_06__teb__tau_x_300,holdout,holdout_06,teb,tau_x_300,true,external_tolerance,false,0,14.29999999999974,5.935745588353412,0.14586325366679234,0.0489390389724531
holdout__holdout_03__teb__tau_w_100,holdout,holdout_03,teb,tau_w_100,true,external_tolerance,false,0,13.529999999999756,5.3356559542837045,0.1660627976071701,0.05805824149863421
discovery__discovery_10__dwa__tau_y_150,discovery,discovery_10,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,0.4114496888617774,0.7947405481796124,4.80090004381641
holdout__holdout_11__dwa__tau_y_500,holdout,holdout_11,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,2.9228906181124015,0.12324101344144962,2.401482585304721
discovery__discovery_18__teb__delay_200,discovery,discovery_18,teb,delay_200,true,external_tolerance,false,0,24.89000000000109,6.281286344915535,0.17372512015225317,0.06865793908018371
holdout__holdout_06__dwa__tau_y_300,holdout,holdout_06,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,2.2646863720095656,0.31776315870183935,3.1090003864513642
holdout__holdout_10__teb__tau_y_500,holdout,holdout_10,teb,tau_y_500,true,external_tolerance,false,0,18.81000000000014,5.585190820083978,0.06737477375454239,0.07958690093732196
holdout__holdout_07__teb__delay_050,holdout,holdout_07,teb,delay_050,false,plugin returned no valid velocity command,false,1,5.749999999999922,2.4930522671567656,0.09875559512118848,2.799239260994375
holdout__holdout_15__teb__tau_y_500,holdout,holdout_15,teb,tau_y_500,true,external_tolerance,false,0,13.019999999999767,5.034968392745869,0.1788290466998838,0.0793406881974234
