schedule_index,episode_id,partition,layout_id,planner,profile_id,lock_hash,valid,success,reason,raw_reason,collision,planner_failures,planner_calls,execution_steps,final_xy_error,final_yaw_error,final_time,capped_time_to_termination,path_length,min_clearance,compute_mean,compute_max,time_contract,feedback_contract,command_hold_contract,collision_truth_contract
539,holdout__holdout_03__dwa__delay_050,holdout,holdout_03,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,2.800876602127678,0.31124756198834097,30.00000000000189,30.00000000000189,2.7639358209125784,0.05279846917402481,0.003271970951666666,0.018212562,true,true,true,true
540,holdout__holdout_10__dwa__tau_y_150,holdout,holdout_10,dwa,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,3.614425722679432,1.2252635309631965,30.00000000000189,30.00000000000189,1.9931931170554604,0.41934680797511664,0.002792552440000004,0.020338609,true,true,true,true
541,discovery__discovery_04__teb__delay_050,discovery,discovery_04,teb,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,299,1494,0.003866762466368159,0.09930851239315663,14.939999999999726,14.939999999999726,5.861569040657224,0.13684660563526085,0.010455003267558514,0.030522411,true,true,true,true
542,discovery__discovery_13__dwa__tau_y_300,discovery,discovery_13,dwa,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.772319817493077,0.9128286002302314,30.00000000000189,30.00000000000189,0.19643775794537108,0.3799554680710816,0.0020952663666666685,0.020130266,true,true,true,true
543,discovery__discovery_02__dwa__delay_050,discovery,discovery_02,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,32,160,4.789388221964771,0.03296052641235291,1.6000000000000012,1.6000000000000012,0.060793762754946544,0.4739193770853988,0.001963000575757576,0.004590064,true,true,true,true
544,discovery__discovery_06__teb__delay_200,discovery,discovery_06,teb,delay_200,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,433,2163,0.0773575882658966,0.09933904932534358,21.63000000000058,21.63000000000058,6.881723405033753,0.15337599420770248,0.012534456136258657,0.032107451,true,true,true,true
545,holdout__holdout_05__teb__tau_x_300,holdout,holdout_05,teb,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,244,1216,0.07640140799551058,0.0044780189490955255,12.159999999999785,12.159999999999785,5.149495492121218,0.1090752685150369,0.010973355901639352,0.032316197,true,true,true,true
546,holdout__holdout_11__dwa__e0,holdout,holdout_11,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.750728787406146,0.002960665189466522,30.00000000000189,30.00000000000189,0.29686420154556653,0.5234999999999999,0.001320683570000001,0.005964902,true,true,true,true
547,discovery__discovery_06__dwa__tau_x_100,discovery,discovery_06,dwa,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.797483142941365,0.17249995505462704,30.00000000000189,30.00000000000189,0.08024138001756845,0.6878650183424233,0.001267769405,0.003969997,true,true,true,true
548,discovery__discovery_08__teb__e0,discovery,discovery_08,teb,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,225,1124,0.07741089692694693,0.08422372482321266,11.239999999999805,11.239999999999805,5.182736287931109,0.18936140469515655,0.009535660888888879,0.031191186,true,true,true,true
549,holdout__holdout_02__teb__tau_x_300,holdout,holdout_02,teb,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,275,1371,0.0664227777280428,0.09810205283379755,13.709999999999752,13.709999999999752,5.728185832789229,0.09236556157152886,0.011953416487272727,0.036136128,true,true,true,true
550,holdout__holdout_16__teb__tau_y_300,holdout,holdout_16,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,255,1272,0.06532579113599184,0.09641779829341289,12.719999999999773,12.719999999999773,5.08800801595742,0.14183587372039055,0.009667604937254904,0.030896932,true,true,true,true
551,holdout__holdout_17__dwa__tau_w_300,holdout,holdout_17,dwa,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,2.6541973225044377,0.7739372183183185,30.00000000000189,30.00000000000189,2.9074102477200388,0.1874071441785701,0.003088063671666668,0.018074292,true,true,true,true
552,holdout__holdout_18__dwa__tau_y_300,holdout,holdout_18,dwa,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,212,1060,2.1796801002855815,1.7009201241517067,10.599999999999818,10.599999999999818,2.7547078795086506,0.08086497425648931,0.005822522427230049,0.020645216,true,true,true,true
553,holdout__holdout_02__teb__tau_w_300,holdout,holdout_02,teb,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,401,2005,0.056512755335511936,0.09574033151818162,20.050000000000335,20.050000000000335,5.733178186557535,0.1014335140708101,0.011604913423940152,0.03162146,true,true,true,true
554,holdout__holdout_04__teb__tau_y_300,holdout,holdout_04,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,339,1691,0.07854231315253017,0.0987148904540105,16.909999999999844,16.909999999999844,5.969685236769744,0.1612945213679935,0.011042911289085546,0.029688526,true,true,true,true
555,holdout__holdout_06__dwa__tau_y_150,holdout,holdout_06,dwa,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,3.151367489476429,0.7906578840430608,30.00000000000189,30.00000000000189,2.0871787711083902,0.32403889464792934,0.002541250893333333,0.018996044,true,true,true,true
556,discovery__discovery_15__dwa__tau_x_300,discovery,discovery_15,dwa,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.327755226404838,0.8157378429755379,30.00000000000189,30.00000000000189,1.903519635415007,0.33744600272889996,0.003062232516666669,0.023111154,true,true,true,true
557,discovery__discovery_02__teb__tau_x_300,discovery,discovery_02,teb,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,249,1244,0.049072201222348844,0.09773198971623848,12.43999999999978,12.43999999999978,5.187410779205645,0.1691907794191754,0.011357748614457822,0.029323234,true,true,true,true
558,holdout__holdout_12__dwa__tau_x_300,holdout,holdout_12,dwa,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.7987983755832255,0.06059223231982813,30.00000000000189,30.00000000000189,0.08880162185125437,0.48389261962244184,0.0014176046416666673,0.004235342,true,true,true,true
559,holdout__holdout_18__teb__tau_y_150,holdout,holdout_18,teb,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,251,1255,0.06631715988944986,0.0988875597950736,12.549999999999777,12.549999999999777,5.15633959602619,0.07954845617006767,0.011651830856573705,0.034169783,true,true,true,true
560,holdout__holdout_01__teb__tau_y_150,holdout,holdout_01,teb,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,271,1351,0.078971852936822,0.04566143010234881,13.509999999999756,13.509999999999756,5.6383986138447835,0.036748806976460234,0.011188823738007371,0.031564178,true,true,true,true
