partition,profile_id,metric,contrast,estimate,ci_low,ci_high,n_layouts
discovery,tau_x_300,min_clearance,TEB-minus-DWA degradation,-0.029148496276314516,-0.11001185981620966,0.047151919067269545,20
discovery,tau_x_300,final_xy_error,TEB-minus-DWA degradation,0.572470252663396,-0.08897609773222409,1.5619903298447166,20
discovery,tau_y_150,success,TEB-minus-DWA degradation,-0.25,-0.45,-0.1,20
discovery,tau_y_150,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_y_150,timeout,TEB-minus-DWA degradation,0.2,0.0,0.4,20
discovery,tau_y_150,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_y_150,capped_time_to_termination,TEB-minus-DWA degradation,3.6835000000004086,1.1014250000000312,6.4810125000008325,20
discovery,tau_y_150,path_length,TEB-minus-DWA degradation,-2.255969261324286,-3.1290802873513726,-1.4350988738065609,20
discovery,tau_y_150,min_clearance,TEB-minus-DWA degradation,0.30150328853309105,0.16112298711648299,0.4542106927426708,20
discovery,tau_y_150,final_xy_error,TEB-minus-DWA degradation,2.0006199705906553,1.2603424012687117,2.7533376833809804,20
discovery,tau_y_300,success,TEB-minus-DWA degradation,-0.1,-0.35,0.1,20
discovery,tau_y_300,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_y_300,timeout,TEB-minus-DWA degradation,0.05,-0.1,0.25,20
discovery,tau_y_300,planner_failure,TEB-minus-DWA degradation,0.0,-0.15,0.15,20
discovery,tau_y_300,capped_time_to_termination,TEB-minus-DWA degradation,3.111000000000094,1.4453874999999694,4.87668750000014,20
discovery,tau_y_300,path_length,TEB-minus-DWA degradation,-0.7271842213756512,-1.8098573673426193,0.19534115730669763,20
discovery,tau_y_300,min_clearance,TEB-minus-DWA degradation,0.04084575951197984,-0.07928085283060929,0.169264441760703,20
discovery,tau_y_300,final_xy_error,TEB-minus-DWA degradation,0.7601207732398707,0.020327510288324444,1.5445882475519883,20
discovery,tau_y_500,success,TEB-minus-DWA degradation,-0.15,-0.3,0.0,20
discovery,tau_y_500,collision,TEB-minus-DWA degradation,0.15,0.0,0.3,20
discovery,tau_y_500,timeout,TEB-minus-DWA degradation,0.0,-0.15,0.15,20
discovery,tau_y_500,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_y_500,capped_time_to_termination,TEB-minus-DWA degradation,3.7290000000002066,1.7349375000000329,5.605587500000437,20
discovery,tau_y_500,path_length,TEB-minus-DWA degradation,-0.7242203900739417,-1.4800762438870814,-0.03775080551814468,20
discovery,tau_y_500,min_clearance,TEB-minus-DWA degradation,-0.0021483785080198907,-0.1309065851420457,0.1335004682878156,20
discovery,tau_y_500,final_xy_error,TEB-minus-DWA degradation,0.8116414273446269,0.23704063154851196,1.4193507415512419,20
holdout,delay_050,success,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,delay_050,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,delay_050,timeout,TEB-minus-DWA degradation,0.35,0.15,0.55,20
holdout,delay_050,planner_failure,TEB-minus-DWA degradation,-0.35,-0.55,-0.15,20
holdout,delay_050,capped_time_to_termination,TEB-minus-DWA degradation,10.715000000000646,4.998487500000267,16.49102500000102,20
holdout,delay_050,path_length,TEB-minus-DWA degradation,0.08943661729344583,0.01707114763765483,0.16073068553603584,20
holdout,delay_050,min_clearance,TEB-minus-DWA degradation,-0.010160008626873376,-0.03498787638341357,0.019635566009061616,20
holdout,delay_050,final_xy_error,TEB-minus-DWA degradation,0.00046777290261618663,-0.01607889600306673,0.02224341335327501,20
holdout,delay_100,success,TEB-minus-DWA degradation,-0.1,-0.25,0.0,20
holdout,delay_100,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,delay_100,timeout,TEB-minus-DWA degradation,0.35,0.15,0.55,20
holdout,delay_100,planner_failure,TEB-minus-DWA degradation,-0.25,-0.45,-0.05,20
