timestamp,episode_id,attempt,status,detail
2026-08-20T12:57:38.690464+00:00,holdout__holdout_12__dwa__tau_y_500,1,algorithm,duration
2026-08-20T12:57:47.773471+00:00,discovery__discovery_06__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T12:57:54.746872+00:00,holdout__holdout_08__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T12:58:01.165362+00:00,discovery__discovery_14__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T12:58:06.333946+00:00,discovery__discovery_03__dwa__tau_y_300,1,algorithm,duration
2026-08-20T12:58:11.497776+00:00,holdout__holdout_07__dwa__delay_100,1,algorithm,plugin returned no valid velocity command
2026-08-20T12:58:20.699782+00:00,discovery__discovery_15__teb__tau_y_500,1,algorithm,external_tolerance
2026-08-20T12:58:27.535089+00:00,holdout__holdout_12__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T12:58:34.957710+00:00,holdout__holdout_06__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T12:58:41.950785+00:00,holdout__holdout_03__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T12:58:48.640952+00:00,discovery__discovery_11__dwa__tau_y_300,1,algorithm,external_tolerance
2026-08-20T12:58:55.454670+00:00,discovery__discovery_08__teb__tau_y_300,1,algorithm,external_tolerance
2026-08-20T12:59:00.910286+00:00,holdout__holdout_04__dwa__tau_x_100,1,algorithm,duration
2026-08-20T12:59:06.701899+00:00,holdout__holdout_03__dwa__tau_x_300,1,algorithm,duration
2026-08-20T12:59:13.653362+00:00,holdout__holdout_15__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T12:59:20.990212+00:00,discovery__discovery_19__dwa__e0,1,algorithm,duration
2026-08-20T12:59:27.477195+00:00,holdout__holdout_12__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T12:59:34.229610+00:00,discovery__discovery_13__teb__tau_y_150,1,algorithm,external_tolerance
2026-08-20T12:59:41.790162+00:00,holdout__holdout_11__teb__tau_w_300,1,algorithm,external_tolerance
2026-08-20T12:59:47.794627+00:00,holdout__holdout_04__dwa__e0,1,algorithm,duration
2026-08-20T12:59:53.236164+00:00,holdout__holdout_17__dwa__e0,1,algorithm,duration
2026-08-20T12:59:59.052780+00:00,holdout__holdout_20__dwa__delay_200,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:00:04.769907+00:00,holdout__holdout_08__dwa__e0,1,algorithm,duration
2026-08-20T13:00:12.637200+00:00,discovery__discovery_11__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:00:20.366031+00:00,holdout__holdout_13__teb__tau_w_300,1,algorithm,external_tolerance
2026-08-20T13:00:26.846638+00:00,discovery__discovery_08__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:00:36.255443+00:00,discovery__discovery_06__teb__tau_x_300,1,algorithm,external_tolerance
2026-08-20T13:00:44.134839+00:00,discovery__discovery_16__teb__tau_y_300,1,algorithm,external_tolerance
2026-08-20T13:00:50.598048+00:00,holdout__holdout_16__teb__e0,1,algorithm,external_tolerance
