partition,planner,profile_id,metric,estimate,ci_low,ci_high,n_layouts
discovery,dwa,tau_y_300,timeout,-0.05,-0.2,0.1,20
discovery,dwa,tau_y_300,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_y_300,capped_time_to_termination,-0.2820000000000441,-1.6901125000002641,0.9488625000001285,20
discovery,dwa,tau_y_300,path_length,0.9258017889459141,0.19168616484963835,1.7722578238918587,20
discovery,dwa,tau_y_300,min_clearance,-0.06879576164747121,-0.19775298999208993,0.050245102534244454,20
discovery,dwa,tau_y_300,final_xy_error,-0.8046061225575484,-1.4952665538748353,-0.23373084455171542,20
discovery,dwa,tau_y_500,success,0.05,0.0,0.15,20
discovery,dwa,tau_y_500,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_y_500,timeout,0.0,-0.15,0.15,20
discovery,dwa,tau_y_500,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_y_500,capped_time_to_termination,0.531000000000083,-0.5460000000000853,1.741500000000272,20
discovery,dwa,tau_y_500,path_length,0.6982454219679681,0.12745643777098664,1.3405221469940736,20
discovery,dwa,tau_y_500,min_clearance,-0.044334523483218403,-0.17173569737634042,0.07785541587239965,20
discovery,dwa,tau_y_500,final_xy_error,-0.6207976727569103,-1.1406333121510137,-0.164774839504765,20
discovery,teb,delay_050,success,0.05,0.0,0.15,20
discovery,teb,delay_050,collision,0.0,0.0,0.0,20
discovery,teb,delay_050,timeout,0.0,0.0,0.0,20
discovery,teb,delay_050,planner_failure,-0.05,-0.15,0.0,20
discovery,teb,delay_050,capped_time_to_termination,1.4114999999999789,0.8959999999999828,2.266012499999951,20
discovery,teb,delay_050,path_length,0.21461880568729766,0.02188010116262903,0.5815780925091736,20
discovery,teb,delay_050,min_clearance,-0.003903208998958708,-0.01694939143961842,0.01318728699797002,20
discovery,teb,delay_050,final_xy_error,-0.13821529535420557,-0.41119123615615355,-9.772209202468844e-05,20
discovery,teb,delay_100,success,0.05,0.0,0.15,20
discovery,teb,delay_100,collision,0.0,0.0,0.0,20
discovery,teb,delay_100,timeout,0.0,0.0,0.0,20
discovery,teb,delay_100,planner_failure,-0.05,-0.15,0.0,20
discovery,teb,delay_100,capped_time_to_termination,3.033000000000039,2.3019875000000045,4.029012500000028,20
discovery,teb,delay_100,path_length,0.2641147370295167,0.06289540387202516,0.6409704889953258,20
discovery,teb,delay_100,min_clearance,-0.01475491020246782,-0.03255923957149956,0.005243238548920842,20
discovery,teb,delay_100,final_xy_error,-0.13592214312253365,-0.41031350133553196,0.0035916441695978676,20
discovery,teb,delay_200,success,-0.1,-0.25,0.0,20
discovery,teb,delay_200,collision,0.0,0.0,0.0,20
discovery,teb,delay_200,timeout,0.0,0.0,0.0,20
discovery,teb,delay_200,planner_failure,0.1,0.0,0.25,20
discovery,teb,delay_200,capped_time_to_termination,5.676000000000469,4.122987500000376,6.995125000000691,20
discovery,teb,delay_200,path_length,-0.07367346520241558,-0.5163319673714083,0.22738515773274862,20
discovery,teb,delay_200,min_clearance,-0.0464204894685782,-0.06814172726164112,-0.025393311694302204,20
discovery,teb,delay_200,final_xy_error,0.2538202237597583,0.01015587841669994,0.6578540520866832,20
discovery,teb,tau_w_100,success,0.0,0.0,0.0,20
discovery,teb,tau_w_100,collision,0.0,0.0,0.0,20
discovery,teb,tau_w_100,timeout,0.0,0.0,0.0,20
discovery,teb,tau_w_100,planner_failure,0.0,0.0,0.0,20
discovery,teb,tau_w_100,capped_time_to_termination,1.2874999999999874,0.9884999999999906,1.6199999999999855,20
discovery,teb,tau_w_100,path_length,-0.015902701786939512,-0.026758244011104985,-0.005407417679605847,20
discovery,teb,tau_w_100,min_clearance,0.0026080359261905204,-0.008517263642270278,0.018392818946345153,20
discovery,teb,tau_w_100,final_xy_error,-0.0010139540265589099,-0.006773260470164147,0.004378328752506454,20
discovery,teb,tau_w_300,success,0.0,0.0,0.0,20
discovery,teb,tau_w_300,collision,0.0,0.0,0.0,20
discovery,teb,tau_w_300,timeout,0.0,0.0,0.0,20
discovery,teb,tau_w_300,planner_failure,0.0,0.0,0.0,20
discovery,teb,tau_w_300,capped_time_to_termination,6.60950000000057,5.173425000000383,8.113175000000771,20
